,disaster_type,location,no_affected,estimated_total_cost
0,Flood,Assam,500000,430000000
1,Flood,Andhra Pradesh,100000,86000000
2,Flood,Arunachal Pradesh,3000000,2580000000
3,Flood,Odisha,3600000,3096000000
4,Flood,Assam,1000000,860000000
5,Flood,Chhattisgarh,550000,473000000
6,Flood,West Bengal,2000000,1720000000
7,Flood,Tripura,1700000,1462000000
8,Flood,Gujarat,8007150,6886149000
9,Flood,Andhra Pradesh,2000000,1720000000
10,Flood,Andhra Pradesh,22000000,18920000000
11,Flood,Tamil Nadu,200000,172000000
12,Flood,Bihar,24600000,21156000000
13,Flood,Arunachal Pradesh,1441247,1239472420
14,Flood,Himachal Pradesh,80000,68800000
15,Flood,West Bengal,534035,459270100
16,Flood,Tamil Nadu,200,172000
17,Flood,Haryana,2000,1720000
18,Flood,Gujarat,9000,7740000
19,Flood,Assam,504000,433440000
20,Flood,Assam,700000,602000000
21,Flood,Assam,13709887,11790502820
22,Flood,Chhattisgarh,9670000,8316200000
23,Flood,Kerala,10800,9288000
24,Flood,Kerala,40000,34400000
25,Flood,Assam,18000,15480000
26,Flood,Uttar Pradesh,300000,258000000
27,Flood,Assam,736000,632960000
28,Flood,Gujarat,8400,7224000
29,Flood,Arunachal Pradesh,85250,73315000
30,Flood,Bihar,7000000,6020000000
31,Flood,Rajasthan,20000,17200000
32,Flood,Andhra Pradesh,42000000,36120000000
33,Flood,Andhra Pradesh,1800000,1548000000
34,Flood,Uttar Pradesh,100000,86000000
35,Flood,Andhra Pradesh,225000,193500000
36,Flood,Madhya Pradesh,3000,2580000
37,Flood,Gujarat,5000,4300000
38,Flood,Andhra Pradesh,2000000,1720000000
39,Flood,Arunachal Pradesh,100000,86000000
40,Flood,Tamil Nadu,200,172000
41,Flood,Assam,200000,172000000
42,Flood,Gujarat,63000,54180000
43,Flood,Maharashtra,10000,8600000
44,Flood,Chhattisgarh,50000,43000000
45,Flood,Andhra Pradesh,200000,172000000
46,Flood,Assam,4550000,3913000000
47,Flood,Gujarat,10000,8600000
48,Flood,Uttar Pradesh,1600000,1376000000
49,Flood,Assam,18700000,16082000000
50,Flood,Madhya Pradesh,100000,86000000
51,Flood,Himachal Pradesh,15000,12900000
52,Flood,Gujarat,3000,2580000
53,Flood,Andhra Pradesh,3000,2580000
54,Flood,West Bengal,7200000,6192000000
55,Flood,Kerala,1000,860000
56,Flood,Andhra Pradesh,20000,17200000
57,Flood,Andhra Pradesh,50000,43000000
58,Flood,Gujarat,100000,86000000
59,Flood,Assam,100000,86000000
60,Flood,Arunachal Pradesh,11100000,9546000000
61,Flood,Kerala,35000,30100000
62,Flood,Gujarat,405000,348300000
63,Flood,Karnataka,10278,8839080
64,Flood,Himachal Pradesh,5000,4300000
65,Flood,Assam,1735000,1492100000
66,Flood,Arunachal Pradesh,7900000,6794000000
67,Flood,Arunachal Pradesh,1904000,1637440000
68,Flood,Assam,50000,43000000
69,Flood,Madhya Pradesh,49000,42140000
70,Flood,Bihar,17200000,14792000000
71,Flood,Tamil Nadu,4000,3440000
72,Flood,Assam,2600000,2236000000
73,Flood,Tamil Nadu,803740,691216400
74,Flood,Assam,225000,193500000
75,Flood,Uttar Pradesh,2700000,2322000000
76,Flood,Andhra Pradesh,10000,8600000
77,Flood,Goa,20000000,17200000000
78,Flood,Uttar Pradesh,800000,688000000
79,Flood,Andhra Pradesh,4100000,3526000000
80,Flood,Tripura,11704,10065440
81,Flood,Rajasthan,1500,1290000
82,Flood,Odisha,41430,35629800
83,Flood,Assam,23000000,19780000000
84,Flood,Assam,25000,21500000
85,Flood,Andhra Pradesh,50000,43000000
86,Flood,Assam,30000,25800000
87,Flood,Bihar,3267183,2809777380
88,Flood,Haryana,12500,10750000
89,Flood,Assam,3000000,2580000000
90,Flood,Kerala,17500,15050000
91,Flood,Karnataka,27500,23650000
92,Flood,Tamil Nadu,25000,21500000
93,Flood,Assam,30000,25800000
94,Flood,Andhra Pradesh,150000,129000000
95,Flood,West Bengal,700000,602000000
96,Flood,Assam,11000,9460000
97,Flood,Assam,5549080,4772208800
98,Flood,Rajasthan,200000,172000000
99,Flood,Bihar,1000,860000
100,Flood,Assam,7587,6524820
101,Flood,Goa,375000,322500000
102,Flood,Himachal Pradesh,105,90300
103,Flood,Arunachal Pradesh,2200000,1892000000
104,Flood,Gujarat,850000,731000000
105,Flood,Kerala,3500,3010000
106,Flood,Himachal Pradesh,1200,1032000
107,Flood,Uttarakhand,200,172000
108,Flood,Arunachal Pradesh,2000000,1720000000
109,Flood,Bihar,500000,430000000
110,Flood,Uttar Pradesh,500000,430000000
111,Flood,Assam,2000000,1720000000
112,Flood,Assam,40000,34400000
113,Flood,Andhra Pradesh,375000,322500000
114,Flood,Uttarakhand,1385,1191100
115,Flood,Tamil Nadu,11000,9460000
116,Flood,Andhra Pradesh,74500,64070000
117,Flood,Assam,1300000,1118000000
118,Flood,Assam,500000,430000000
119,Flood,Haryana,5,4300
120,Flood,Assam,10250000,8815000000
121,Flood,Assam,18500,15910000
